Step	Kills	Name
4	2,318 x	Silencer
4	271 x	Silver Rabbit
2	164 x	Skeleton
1	4 x	Skeleton Elite Warrior
1	12 x	Skeleton Warrior
4	262 x	Skunk
2	115 x	Slime
4	517 x	Slug
4	508 x	Smuggler
3	188 x	Snake
4	244,351 x	Sopping Carcass
1	140 x	Sorcerer's Apparition
2	871 x	Soul-broken Harbinger
4	1,239 x	Souleater
4	2,613 x	Sparkion
4	4,500 x	Spectre
1	7 x	Sphinx
4	256 x	Spider
4	2,500 x	Spiky Carnivor
2	185 x	Spit Nettle
1	27 x	Squid Warden
1	2 x	Squirrel
4	1,000 x	Stabilizing Dread Intruder
4	1,040 x	Stabilizing Reality Reaver
4	540 x	Stalker
4	40,288 x	Stalking Stalk
1	1 x	Starving Wolf
1	8 x	Stone Devourer
4	500 x	Stone Golem
4	1,000 x	Stonerefiner
2	367 x	Streaked Devourer
4	79,163 x	Sulphider
4	40,385 x	Sulphur Spouter
4	505 x	Swamp Troll
1	3 x	Swampling
1	2 x	Swan Maiden
4	725 x	Tarantula
1	3 x	Tarnished Spirit
1	2 x	Terramite
2	40 x	Terror Bird
3	1,424 x	Thanatursus
4	500 x	Thornback Tortoise
4	5 x	Thornfire Wolf
1	6 x	Tiger
4	500 x	Toad
4	873 x	Tortoise
1	26 x	Tremendous Tyrant
1	6 x	Troll
2	139 x	True Dawnfire Asura
1	8 x	True Frost Flower Asura
2	151 x	True Midnight Asura
1	10 x	Tunnel Tyrant
4	765,121 x	Turbulent Elemental
1	2 x	Twisted Shaper
2	225 x	Two-headed Turtle
1	1 x	Undead Cavebear
1	3 x	Undead Elite Gladiator
4	1,005 x	Undead Gladiator
1	4 x	Undead Mine Worker
1	2 x	Undead Prospector
4	79,204 x	Undertaker
1	3 x	Usurper Archer
1	6 x	Usurper Knight
1	3 x	Usurper Warlock
2	103 x	Valkyrie
1	21 x	Vampire
1	2 x	Vampire Bride
1	3 x	Vampire Viscount
1	41 x	Varnished Diremaw
1	28 x	Venerable Girtablilu
4	9,672 x	Vexclaw
3	4,103 x	Vibrant Phantom
4	7 x	Vicious Manbat
4	1,206 x	Vicious Squire
2	134 x	Vile Grandmaster
3	1,347 x	Vulcongra
2	201 x	Wailing Widow
2	91 x	Walker
4	7,079 x	Walking Pillar
4	1,132 x	War Golem
1	20 x	War Wolf
4	367 x	Wasp
4	5 x	Water Buffalo
4	1,002 x	Water Elemental
4	1,759 x	Weakened Frazzlemaw
1	24 x	Weeper
4	1,026 x	Werebadger
4	1,174 x	Werebear
4	1,207 x	Wereboar
4	1,002 x	Werefox
4	1,012 x	Werehyaena
2	358 x	Werehyaena Shaman
1	3 x	Werelion
1	2 x	Werelioness
4	1,316 x	Werewolf
1	2 x	White Lion
1	1 x	White Shade
1	1 x	Wiggler
4	594 x	Wild Warrior
4	284 x	Winter Wolf
1	1 x	Wisp
2	28 x	Witch
4	290 x	Wolf
2	298 x	Worker Golem
4	1,060 x	Worm Priestess
4	1,484 x	Wyrm
1	6 x	Wyvern
4	1,000 x	Yielothax
4	5,266 x	Young Goanna
4	1,153 x	Young Sea Serpent
1	3 x	Zombie
