List of Creatures by Experience to Hit Points Ratio (1896)
Name		Exp	HP	Exp/HP Ratio
Troll Guard	Troll Guard	25	60	0.417
Wild Dog	Wild Dog	0	20	0
Running Elite Orc Guard	Running Elite Orc Guard	0	?	?
Furious Orc Berserker	Furious Orc Berserker	0	?	?
Weakened Demon	Weakened Demon	0	5	0
White Deer	White Deer	0	195	0
Incredibly Old Witch	Incredibly Old Witch	0	620	0
Energized Raging Mage	Energized Raging Mage	0	3,500	0
Shaburak Demon	Shaburak Demon	900	1,500	0.6
Spider Queen	Spider Queen	120	10,000	0.012
Butterfly (Yellow)	Butterfly (Yellow)	0	2	0
Clay Guardian	Clay Guardian	400	625	0.64
Crystal Wolf	Crystal Wolf	275	750	0.367
Horestis	Horestis	3,500	6,000	0.583
Massacre	Massacre	20,000	32,000	0.625
Ghazbaran	Ghazbaran	15,000	77,000	0.195
Destroyer	Destroyer	2,500	3,700	0.676
Lizard Templar	Lizard Templar	155	410	0.378
Draken Warmaster	Draken Warmaster	2,400	4,150	0.578
Lizard High Guard	Lizard High Guard	1,450	1,800	0.806
Hellspawn	Hellspawn	2,550	3,500	0.729
Black Sheep	Black Sheep	0	20	0
Tarantula	Tarantula	120	225	0.533
Plaguesmith	Plaguesmith	3,800	8,250	0.461
Devovorga (Invincible)	Devovorga (Invincible)	--	--	?
Elf Overseer	Elf Overseer	290	500	0.58
Shaburak Lord	Shaburak Lord	1,200	2,100	0.571
Fleshcrawler	Fleshcrawler	1,000	1,450	0.69
Ethershreck	Ethershreck	5,600	9,500	0.589
The Bloodweb	The Bloodweb	1,450	1,750	0.829
Deathbine	Deathbine	340	525	0.648
Ribstride	Ribstride	1,100	1,000	1.1
Flameborn	Flameborn	2,550	3,500	0.729
Gorgo	Gorgo	7,000	4,500	1.556
Sulphur Scuttler	Sulphur Scuttler	900	1,300	0.692
Necromancer	Necromancer	580	580	1
Orshabaal	Orshabaal	10,000	22,500	0.444
Morgaroth	Morgaroth	15,000	55,000	0.273
Wild Horse	Wild Horse	0	75	0
Demodras	Demodras	6,000	4,500	1.333
Zulazza the Corruptor	Zulazza the Corruptor	10,000	46,500	0.215
The Mutated Pumpkin	The Mutated Pumpkin	30,000	500,000	0.06
Crustacea Gigantica	Crustacea Gigantica	1,800	1,600	1.125
Hide	Hide	240	500	0.48
Deer	Deer	0	25	0
The Halloween Hare	The Halloween Hare	0	2,000	0
Energy Elemental	Energy Elemental	550	500	1.1
Fire Elemental	Fire Elemental	220	280	0.786
Hatebreeder	Hatebreeder	10,000	18,000	0.556
Mutated Bat	Mutated Bat	615	900	0.683
Deepsea Blood Crab	Deepsea Blood Crab	180	320	0.563
Grynch Clan Goblin	Grynch Clan Goblin	4	80	0.05
Blistering Fire Elemental	Blistering Fire Elemental	1,300	1,500	0.867
Hellgorak	Hellgorak	10,000	25,850	0.387
Hellfire Fighter	Hellfire Fighter	3,400	3,800	0.895
Dog	Dog	0	20	0
Wrath of the Emperor	Wrath of the Emperor	600	55,000	0.011
Acolyte of Darkness	Acolyte of Darkness	200	325	0.615
Souleater	Souleater	1,300	1,100	1.182
Essence of Darkness	Essence of Darkness	30	1,000+	?
Spirit of Light	Spirit of Light	?	?	?
Deepling Worker	Deepling Worker	130	190	0.684
Kerberos	Kerberos	10,000	11,000	0.909
Shark	Shark	700	1,200	0.583
Jellyfish	Jellyfish	0	55	0
Calamary	Calamary	0	75	0
Fish (Creature)	Fish (Creature)	0	25	0
Northern Pike (Creature)	Northern Pike (Creature)	0	95	0
Obujos	Obujos	20,000	35,000	0.571
Tanjis	Tanjis	15,000	30,000	0.5
Insectoid Worker	Insectoid Worker	650	950	0.684
Waspoid	Waspoid	830	1,100	0.755
Swarmer	Swarmer	350	460	0.761
Crawler	Crawler	1,000	1,450	0.69
Floor Blob	Floor Blob	--	--	?
Kollos	Kollos	2,400	3,800	0.632
Spidris	Spidris	2,600	3,700	0.703
Ladybug	Ladybug	70	255	0.275
Swarmer Hatchling	Swarmer Hatchling	0	5	0
Lesser Swarmer	Lesser Swarmer	0	230	0
Hive Pore	Hive Pore	--	--	?
Spitter	Spitter	1,100	1,500	0.733
Hive Overseer	Hive Overseer	5,500	7,500	0.733
Giant Spider (Wyda)	Giant Spider (Wyda)	12	20	0.6
Deepling Warrior	Deepling Warrior	1,500	1,600	0.938
